"Model","Status","Quant","N","Rows","Runtime_min","bleu_clean","bleu_noisy","bleu_repaired","bleu_recovery%","chrf_clean","chrf_noisy","chrf_repaired","chrf_recovery%","rouge_l_clean","rouge_l_noisy","rouge_l_repaired","rouge_l_recovery%","token_f1_clean","token_f1_noisy","token_f1_repaired","token_f1_recovery%","exact_match_clean","exact_match_noisy","exact_match_repaired","exact_match_recovery%","bertscore_clean","bertscore_noisy","bertscore_repaired","bertscore_recovery%","intent_preservation_clean","intent_preservation_noisy","intent_preservation_repaired","intent_preservation_recovery%","geval_clean","geval_noisy","geval_repaired","geval_recovery%"
"gemma-4-local (Q6_K-ref)","COMPLETED","Q6_K-ref","50","50/50","0.0","3.72","3.24","2.74","-103%","39.38","36.77","35.64","-44%","17.38","15.49","14.19","-68%","32.92","29.87","27.19","-88%","0.00","0.00","0.00","N/A","0.8335","0.8279","0.8228","-91%","1.0000","0.6792","0.7019","7%","4.64","3.74","3.66","-9%"
"BioMistral-7B","COMPLETED","none","50","50/50","9.0","2.97","2.20","2.04","-21%","27.30","26.33","25.82","-52%","16.08","13.58","13.20","-15%","27.16","24.01","23.32","-22%","0.00","0.00","0.00","N/A","0.8564","0.8463","0.8401","-61%","1.0000","0.6491","0.6758","8%","3.64","2.86","2.68","-23%"
"Mistral-7B-Instruct-v0.3","COMPLETED","none","50","50/50","13.3","3.82","2.91","2.48","-48%","34.44","31.70","31.79","3%","18.82","15.36","14.35","-29%","33.77","28.25","27.47","-14%","0.00","0.00","0.00","N/A","0.8683","0.8536","0.8475","-42%","1.0000","0.5021","0.6753","35%","4.08","3.32","3.04","-37%"
"gemma-2-9b-it","COMPLETED","none","50","50/50","10.0","0.70","0.84","1.39","-382%","15.74","16.50","20.53","-529%","12.41","11.06","12.72","123%","17.92","17.33","19.90","441%","0.00","0.00","0.00","N/A","0.8577","0.8474","0.8399","-73%","1.0000","0.6722","0.7459","22%","3.74","3.52","3.20","-145%"
"Llama-3.1-8B-Instruct","COMPLETED","none","50","50/50","17.6","3.68","3.09","2.44","-109%","39.15","35.97","36.00","1%","16.46","14.14","13.21","-40%","31.79","28.24","26.72","-43%","0.00","0.00","0.00","N/A","0.8455","0.8403","0.8323","-157%","1.0000","0.6108","0.6832","19%","3.76","2.92","2.66","-31%"
"Phi-3-medium-4k-instruct (4bit)","COMPLETED","4bit","50","50/50","17.9","2.28","1.55","1.42","-17%","31.10","26.08","28.89","56%","14.66","11.92","11.50","-15%","26.20","21.38","21.00","-8%","0.00","0.00","0.00","N/A","0.8540","0.8396","0.8351","-31%","1.0000","0.5139","0.6497","28%","3.82","2.76","2.68","-8%"
"Qwen2.5-14B-Instruct (4bit)","COMPLETED","4bit","50","50/50","18.5","1.82","1.70","1.83","111%","26.52","27.25","27.27","-2%","15.86","13.82","13.20","-30%","26.81","25.01","23.68","-74%","0.00","0.00","0.00","N/A","0.8533","0.8487","0.8372","-248%","1.0000","0.6424","0.7284","24%","3.96","3.26","3.36","14%"
"Qwen2.5-32B-Instruct (4bit)","COMPLETED","4bit","50","50/50","30.1","2.62","2.02","2.19","28%","30.52","29.83","30.32","72%","16.36","13.99","12.87","-48%","29.42","25.49","24.46","-26%","0.00","0.00","0.00","N/A","0.8575","0.8435","0.8355","-57%","1.0000","0.7136","0.7148","0%","4.06","3.20","3.00","-23%"
"Mixtral-8x7B-Instruct-v0.1 (4bit)","COMPLETED","4bit","50","50/50","36.1","3.78","2.96","2.35","-74%","31.78","31.92","31.75","124%","18.61","15.62","14.56","-35%","31.57","28.74","27.03","-61%","0.00","0.00","0.00","N/A","0.8680","0.8540","0.8486","-38%","1.0000","0.5944","0.6907","24%","4.02","3.34","3.20","-21%"
"gpt-5.4","COMPLETED","none","50","50/50","16.4","3.33","2.99","3.67","200%","32.14","31.80","32.51","210%","18.83","16.99","17.36","20%","32.48","31.17","30.93","-18%","0.00","0.00","0.00","N/A","0.8452","0.8417","0.8422","14%","1.0000","0.8259","0.8018","-14%","4.02","3.74","3.70","-14%"
